TACC: Starting up job 6665552
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Enter the number of bins 
 the minimum value for the bin 
 the maximum value for the bin 
  the number of measurements 
Enter the data 
Number of elements in bin:0 is 0 
Number of elements in bin:1 is 876244 
Number of elements in bin:2 is 1250 
Number of elements in bin:3 is 1266 
Number of elements in bin:4 is 1279 
Number of elements in bin:5 is 1270 
Number of elements in bin:6 is 1341 
Number of elements in bin:7 is 1295 
Number of elements in bin:8 is 1264 
Number of elements in bin:9 is 1202 
Number of elements in bin:10 is 1275 
Number of elements in bin:11 is 1196 
Number of elements in bin:12 is 1225 
Number of elements in bin:13 is 1284 
Number of elements in bin:14 is 1184 
Number of elements in bin:15 is 1300 
Number of elements in bin:16 is 1257 
Number of elements in bin:17 is 1237 
Number of elements in bin:18 is 1238 
Number of elements in bin:19 is 1303 
Number of elements in bin:20 is 1241 
Number of elements in bin:21 is 1219 
Number of elements in bin:22 is 1297 
Number of elements in bin:23 is 1297 
Number of elements in bin:24 is 1255 
Number of elements in bin:25 is 1261 
Number of elements in bin:26 is 1235 
Number of elements in bin:27 is 1244 
Number of elements in bin:28 is 1327 
Number of elements in bin:29 is 1261 
Number of elements in bin:30 is -1658134883 
Number of elements in bin:31 is 176463 
Number of elements in bin:32 is 805315903 
Number of elements in bin:33 is 1251 
Number of elements in bin:34 is -1847115365 
Number of elements in bin:35 is 45583 
Number of elements in bin:36 is 1166096364 
Number of elements in bin:37 is 132266 
Number of elements in bin:38 is -1628129779 
Number of elements in bin:39 is 176475 
Number of elements in bin:40 is 1209 
Number of elements in bin:41 is 1267 
Number of elements in bin:42 is 1229 
Number of elements in bin:43 is 1258 
Number of elements in bin:44 is 1262 
Number of elements in bin:45 is 1213 
Number of elements in bin:46 is 1260 
Number of elements in bin:47 is 1259 
Number of elements in bin:48 is 805315854 
Number of elements in bin:49 is 1268 
Number of elements in bin:50 is 1166096365 
Number of elements in bin:51 is 132269 
Number of elements in bin:52 is 805315893 
Number of elements in bin:53 is 1261 
Number of elements in bin:54 is -685830589 
Number of elements in bin:55 is 176673 
Number of elements in bin:56 is -1113610406 
Number of elements in bin:57 is 132324 
Number of elements in bin:58 is -178072073 
Number of elements in bin:59 is 111460 
Number of elements in bin:60 is -1879150524 
Number of elements in bin:61 is 12293 
Number of elements in bin:62 is 1283 
Number of elements in bin:63 is 1295 
Number of elements in bin:64 is 1623866556 
Number of elements in bin:65 is 1253 
Number of elements in bin:66 is 1184 
Number of elements in bin:67 is 1284 
Number of elements in bin:68 is 1333 
Number of elements in bin:69 is 1298 
Number of elements in bin:70 is 345826683 
Number of elements in bin:71 is 263385 
Number of elements in bin:72 is 1289 
Number of elements in bin:73 is 89753 
Number of elements in bin:74 is 805315911 
Number of elements in bin:75 is 263396 
Number of elements in bin:76 is 1362 
Number of elements in bin:77 is 1234 
Number of elements in bin:78 is 1304 
Number of elements in bin:79 is 89776 
Number of elements in bin:80 is 1311 
Number of elements in bin:81 is 1217 
Number of elements in bin:82 is 1324 
Number of elements in bin:83 is 1724 
Number of elements in bin:84 is 1249 
Number of elements in bin:85 is 1243 
Number of elements in bin:86 is 51064446 
Number of elements in bin:87 is 1269 
Number of elements in bin:88 is 536872261 
Number of elements in bin:89 is 1228 
Number of elements in bin:90 is 1247 
Number of elements in bin:91 is 1241 
Number of elements in bin:92 is 52479721 
Number of elements in bin:93 is 263391 
Number of elements in bin:94 is 1253 
Number of elements in bin:95 is 1204 
Number of elements in bin:96 is 1203 
Number of elements in bin:97 is 1222 
Number of elements in bin:98 is 33606874 
Number of elements in bin:99 is 1303 
Elapsed time = 1.259454e+00 seconds
 
TACC: Shutdown complete. Exiting.
