TACC: Starting up job 6665578
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Enter the number of bins 
 the minimum value for the bin 
 the maximum value for the bin 
  the number of measurements 
Enter the data 
Number of elements in bin:0 is 0 
Number of elements in bin:1 is 969046 
Number of elements in bin:2 is 291 
Number of elements in bin:3 is 288 
Number of elements in bin:4 is 326 
Number of elements in bin:5 is 343 
Number of elements in bin:6 is 334 
Number of elements in bin:7 is 317 
Number of elements in bin:8 is 312 
Number of elements in bin:9 is 330 
Number of elements in bin:10 is 343 
Number of elements in bin:11 is 289 
Number of elements in bin:12 is 287 
Number of elements in bin:13 is 310 
Number of elements in bin:14 is 297 
Number of elements in bin:15 is 306 
Number of elements in bin:16 is 330 
Number of elements in bin:17 is 323 
Number of elements in bin:18 is 311 
Number of elements in bin:19 is 323 
Number of elements in bin:20 is 285 
Number of elements in bin:21 is 299 
Number of elements in bin:22 is 318 
Number of elements in bin:23 is 320 
Number of elements in bin:24 is 296 
Number of elements in bin:25 is 690043 
Number of elements in bin:26 is 668600177 
Number of elements in bin:27 is 12188 
Number of elements in bin:28 is 420 
Number of elements in bin:29 is 1016099 
Number of elements in bin:30 is -188590550 
Number of elements in bin:31 is 177137 
Number of elements in bin:32 is 197643408 
Number of elements in bin:33 is 11315 
Number of elements in bin:34 is 1150425591 
Number of elements in bin:35 is 353551 
Number of elements in bin:36 is 440 
Number of elements in bin:37 is 291 
Number of elements in bin:38 is 2120086068 
Number of elements in bin:39 is 983342 
Number of elements in bin:40 is 2031929950 
Number of elements in bin:41 is 331606 
Number of elements in bin:42 is 291746007 
Number of elements in bin:43 is 33066 
Number of elements in bin:44 is 36179327 
Number of elements in bin:45 is 269 
Number of elements in bin:46 is 2083907865 
Number of elements in bin:47 is 1016085 
Number of elements in bin:48 is 520848548 
Number of elements in bin:49 is 1016105 
Number of elements in bin:50 is -132190927 
Number of elements in bin:51 is 331591 
Number of elements in bin:52 is 1186678559 
Number of elements in bin:53 is 994326 
Number of elements in bin:54 is 322 
Number of elements in bin:55 is 309 
Number of elements in bin:56 is 102126642 
Number of elements in bin:57 is 341 
Number of elements in bin:58 is 1323332900 
Number of elements in bin:59 is 176707 
Number of elements in bin:60 is 401 
Number of elements in bin:61 is 308 
Number of elements in bin:62 is -132361040 
Number of elements in bin:63 is 177167 
Number of elements in bin:64 is -1073708574 
Number of elements in bin:65 is 307 
Number of elements in bin:66 is 1180273836 
Number of elements in bin:67 is 177657 
Number of elements in bin:68 is 1323333176 
Number of elements in bin:69 is 176728 
Number of elements in bin:70 is -23170875 
Number of elements in bin:71 is 177154 
Number of elements in bin:72 is 1092261652 
Number of elements in bin:73 is 342609 
Number of elements in bin:74 is 291746506 
Number of elements in bin:75 is 33083 
Number of elements in bin:76 is 326 
Number of elements in bin:77 is 292 
Number of elements in bin:78 is 279701116 
Number of elements in bin:79 is 11303 
Number of elements in bin:80 is -303037779 
Number of elements in bin:81 is 310 
Number of elements in bin:82 is 1572904095 
Number of elements in bin:83 is 342664 
Number of elements in bin:84 is 872479337 
Number of elements in bin:85 is 317 
Number of elements in bin:86 is 61787957 
Number of elements in bin:87 is 314 
Number of elements in bin:88 is 1123 
Number of elements in bin:89 is 305 
Number of elements in bin:90 is 303 
Number of elements in bin:91 is 291 
Number of elements in bin:92 is 164505193 
Number of elements in bin:93 is 322 
Number of elements in bin:94 is 291746803 
Number of elements in bin:95 is 33065 
Number of elements in bin:96 is 288 
Number of elements in bin:97 is 306 
Number of elements in bin:98 is 134422981 
Number of elements in bin:99 is 335 
Elapsed time = 1.260192e+00 seconds
 
TACC: Shutdown complete. Exiting.
